"","x","y","Jarak_Lampu","n_Lajur","n_Jalur","Kerb_R","Kerb_L","label","vol"
"159",59868.6195631036,-83197.5497223147,276.689998903151,2,2,0,0,1,3.27438563372637
"160",59831.5586159913,-83913.5963628887,3.3654470629972,4,2,0,0,1,0.716853458292376
"161",62148.199258849,-84033.9241445651,29.7862576123355,4,2,1,1,1,0.737129040954218
"162",60005.24406836,-84598.9573763093,45.4294521550094,2,2,0,0,1,1.51655247667774
"163",62322.0257011009,-83409.1587975551,113.511916249298,2,2,0,0,1,0.00043145640333444
"164",58937.2524447634,-83575.239766712,308.180230722708,2,2,0,0,1,1.60700188184989
"165",61232.1820827357,-84342.0637109532,2.30949146582183,2,2,0,0,1,2.41554266720652
"166",60653.8753003816,-84062.7162096511,243.644365713131,2,2,0,0,1,2.20506663619896
"167",62082.3200960077,-83183.9933357783,254.592277275813,2,2,0,0,1,0.344174959181831
"168",61245.3124292305,-85558.9015548935,226.60538550957,2,2,0,0,1,0.652135501748228
"169",60297.003282645,-84466.9541757327,171.192562348784,1,2,0,0,1,0.657014420284905
"170",61280.1298588455,-85264.3432713189,82.7572187153258,2,2,0,0,1,1.06836786781758
"171",62205.4805667566,-83968.4989901076,26.5094302513542,1,2,0,0,1,3.39237631233795
"172",61177.9048991005,-84578.406132798,122.076461845776,2,2,0,0,1,1.95289008042357
"173",59896.7934521377,-84557.5299472404,21.3830627142102,4,2,0,1,1,1.29693617783707
"174",60093.4691633935,-84851.2575611952,15.4735228292017,2,2,0,0,1,1.40613894900692
"175",62101.7513581467,-84232.3890374365,210.943946693796,2,2,0,0,1,0.43825612502348
"176",61223.3104051162,-85679.4463984459,121.410854309983,2,2,0,0,1,0.127712006441503
"177",61186.8789110915,-84539.7977038325,82.4261206279269,2,2,0,0,1,1.37002142693104
"178",60661.5386932447,-84063.5085327947,251.348609098375,2,2,0,0,1,2.94008884826528
"179",59565.6085202211,-84566.6044068453,69.29979039926,2,2,0,0,1,3.19111386499875
"180",60378.8083571333,-84041.7220182727,33.3168937744895,4,2,0,0,1,6.15666503984838
"181",59921.7806587195,-84764.3529453635,218.120470118665,2,2,0,0,1,3.66553920428562
"182",60314.5611204305,-84037.4044978102,40.9804845842107,4,2,0,0,1,1.20519706950529
"183",61055.8288558642,-84078.5965432014,36.572504060862,4,2,0,0,1,3.03702794347347
"184",59570.1243247448,-83762.1734053888,10.4109156111496,2,2,1,1,1,0.0595019200807288
"185",61553.8667322037,-84172.44710666,82.9503632735424,2,2,0,0,1,1.21404085034053
"186",61553.8667322037,-84172.44710666,82.9503632735424,2,2,0,0,1,1.21404085034053
"187",61853.7861587712,-83349.6523200058,50.831902246542,2,2,0,0,1,0.0997730738949223
"188",61107.5542068966,-83314.4727921095,1.11950535728987,2,2,0,0,1,2.13418157557082
"189",61154.0768819267,-83314.8081150934,45.4078196288715,2,2,0,0,1,1.12993360596942
"190",59170.6524814392,-84858.5372823178,140.937057740168,2,2,0,0,1,3.91983463492902
"191",60099.2772936459,-84020.2707793018,13.6304570927031,4,2,0,0,1,0.599276656363482
"192",58636.7594831255,-85296.6557275673,922.460348279768,2,2,0,0,1,1.03759535589868
"193",61955.183417415,-84144.1466145511,199.014333226525,4,2,0,0,1,1.05293078315267
"194",60221.1038064021,-84946.5353603612,23.0901546491895,2,2,0,0,1,0.815725668535779
"195",62287.7253574376,-83073.3291056727,497.57183968801,2,2,0,0,1,0.695648188668892
"196",61203.0240405818,-84460.4578549994,3.07611576216108,2,2,0,0,1,0.874714601953527
"197",62062.9707773719,-83191.4091221536,233.546361329778,2,2,0,0,1,2.97808201415785
"198",59774.2108854469,-83209.9429746304,393.172685796223,4,2,0,0,1,0.663661001512001
"199",59362.7733299812,-83669.1758388895,2.56522255281888,4,2,0,0,1,0.753318063488887
"200",60123.9327900051,-84881.5671636168,29.6020674905836,2,2,0,0,1,1.16425441763985
"201",59887.4610072967,-84553.943517294,31.3809128066485,4,2,0,1,1,3.45849647423218
"202",60132.2289628398,-84213.0090199909,108.42356123139,2,2,0,0,1,2.92499542225105
"203",60343.8767533429,-84295.0102328839,162.395831106916,2,2,0,0,1,2.98344874882361
"204",59357.0531281844,-83665.4916628586,9.36944409098562,2,2,0,0,1,2.03220339644446
"205",59676.6503358978,-84041.8856189526,47.2831980459662,2,2,0,0,1,0.657633941750266
"206",59283.4644984695,-83623.1214469012,19.8872670189552,2,2,0,0,1,0.703293171279836
"207",61943.4640999569,-84076.0881886693,140.960248990182,4,2,0,0,1,0.91481438079162
"208",62131.5989847344,-84156.1626848493,129.041944970667,1,2,0,0,1,1.49492915470231
"209",61814.3604463402,-84099.6598671205,64.9179605177819,4,2,0,0,1,2.25597023114132
"210",60153.6424549831,-84024.683500946,67.0302416195517,4,2,0,0,1,1.69918580521516
"211",59862.1817714763,-83196.3623876241,283.236366195853,2,2,0,0,1,1.82764905866912
"212",60293.8861813032,-84035.1243808191,20.1768468984216,4,2,0,0,1,5.36265953059836
"213",61648.7581868607,-83320.3139685402,215.617657392729,2,2,0,0,1,2.07254963882917
"214",62809.8070314747,-82830.2814899873,1074.21547649759,2,2,0,0,1,3.20223735699419
"215",59705.130347128,-84620.6867602827,129.630515462227,2,2,0,0,1,2.10934979736583
"216",59596.4169635778,-84691.1806635729,0.158525184692298,1,2,0,0,1,0.717586294034621
"217",59995.0586695021,-83203.4307112594,167.321979133785,2,2,0,0,1,2.97927898462909
"218",59927.9346121899,-84012.6406436152,6.40184409092835,4,2,1,1,1,0.39105953257961
"219",61976.1100266381,-83236.2424291034,135.75725494521,2,2,0,0,1,3.46797932275895
"220",59675.9010043545,-83677.7867856102,189.213963784385,1,2,0,0,1,0.977891245719619
"221",61583.2080069244,-84094.2158425282,5.45367199932162,4,2,0,0,1,0.198233298705638
"222",62003.9968583069,-84051.8682377478,74.6866340337129,4,2,0,0,1,0.476604648165826
"223",61568.2656290676,-85049.432973315,7.72835823430994,2,2,0,0,1,4.17404989919024
"224",61653.0408816633,-83836.9419702125,85.0690083923438,2,2,0,0,1,1.5683193896879
"225",61342.5889148782,-84056.1431207975,73.2002884990803,4,2,0,0,1,1.7175651551164
"226",60271.263909901,-84118.4019692386,90.3385769926421,1,2,0,0,1,0.389605897545527
"227",58874.6541382086,-84979.5566893171,489.621379060938,2,2,0,0,1,1.69545168398624
"228",61179.5440140045,-84571.1042960302,114.592912029496,2,2,0,0,1,1.95289008042357
"229",61186.7891193475,-84461.1326667226,19.3311215429232,2,2,0,0,1,1.05775171843533
"230",59563.0261843894,-84572.4633865086,75.7026101720033,2,2,0,0,1,3.19111386499875
"231",59664.6668631375,-83822.3325504932,32.3003154280202,2,2,0,0,1,4.03971424080427
"232",61162.1258099066,-84416.0692884207,100.862195858353,1,2,0,0,1,2.22942500218099
"233",60460.0332549733,-84048.9520548905,49.1600440733232,4,2,0,0,1,1.81812252837649
"234",59757.5037129998,-83293.8450098388,478.758758119984,2,2,0,0,1,5.43333466198921
"235",62154.2033614354,-84034.2065875809,23.7754219555248,4,2,0,0,1,0.947705588541091
"236",61237.1266290729,-84328.5336119112,17.314472458893,4,2,0,0,1,1.38388896805788
"237",61565.6514538176,-85057.919238529,1.15155854524174,2,2,0,0,1,6.60386744294557
"238",61233.0821695486,-84350.3476904726,8.75167093604581,2,2,0,0,1,1.69591320732223
"239",59057.5689778279,-84915.5983019926,271.537345644706,2,2,0,0,1,0.823264935393353
"240",59857.1650147588,-83195.4370964996,288.337739699909,2,2,0,0,1,1.82764905866912
"241",59946.7088416822,-84779.1297269351,189.138485218158,2,2,0,0,1,2.25855041286075
"242",61500.7908263239,-84058.7481876785,17.4058727235372,4,2,0,0,1,2.00523530533968
"243",60255.4406662011,-84032.5748983489,18.3593169023742,4,2,0,0,1,5.49633608208019
"244",62121.7252068007,-84032.7067825741,31.31853391263,4,2,1,1,1,0.696821735981977
"245",60696.3564271252,-84065.8543843057,286.253204166248,4,2,0,0,1,0.845772859627294
"246",62279.1407095331,-83573.4989329419,59.6023245600732,2,2,0,0,1,1.26668768692113
"247",60489.8213119901,-84645.6338148062,55.3752063580295,2,2,0,0,1,2.47777181016569
"248",61446.737501594,-85039.2986596334,121.882784941311,2,2,0,0,1,2.39615205873625
"249",59307.7630385747,-84814.9511994685,16.6137818887469,2,2,0,0,1,2.77124628549326
"250",60564.8841256515,-84055.2640308504,154.223004129815,4,2,0,0,1,2.07690760895427
"251",60771.9581391831,-84579.9601038274,257.950238128816,2,2,0,0,1,1.28404931932334
"252",58894.7986310451,-83570.4430193921,350.920040776826,4,2,0,0,1,2.10551948406099
"253",59917.3599633277,-84171.4906099362,35.48954273154,1,2,0,0,1,2.95195958664185
"254",60225.5407932851,-84636.8435056099,61.6764670071042,2,2,0,0,1,6.18655915057302
"255",62322.0257011009,-83409.1587975551,113.511916249298,2,2,0,0,1,0.00043145640333444
"256",60297.508074297,-84636.4521496461,15.0699332968447,2,2,0,0,1,0.573619066192742
"257",60023.2263146096,-83104.5958017179,268.381113250685,2,2,0,0,1,7.56409108451478
"258",61271.0705250672,-84061.6410619331,1.44644113207182,4,2,0,0,1,0.237406046717168
"259",61914.2230992988,-84077.3566356487,167.296860868329,2,2,0,0,1,0.480295689882457
"260",61993.2651509723,-84054.185732707,85.7594762128493,4,2,0,0,1,1.07745199297091
"261",59215.9624519111,-83606.5094687664,27.0519399487513,2,2,0,0,1,1.26308587418477
"262",61292.1721631419,-85441.7202177987,99.1304137957123,2,2,0,0,1,1.53222587730259
"263",59923.761457227,-84567.8447356759,7.49053593536444,2,2,0,0,1,1.88846462074617
"264",60009.3698509238,-83219.1733103274,133.525927464771,2,2,0,0,1,3.36950581392109
"265",61022.2354478204,-84318.1918338901,214.037811685604,2,2,0,0,1,1.90009457981333
"266",61286.0390940627,-84060.078556633,16.5022799518918,4,2,0,0,1,1.23318294123515
"267",59871.8291829999,-83960.0736841753,25.1335012133275,4,2,0,0,1,0.927192433308235
"268",59917.0683378828,-84171.4240489705,35.1904177372133,1,2,0,0,1,2.95195958664185
"269",61751.2290097332,-84520.6900218884,415.413747829464,2,2,0,0,1,2.24957785954178
"270",61293.3890932743,-85333.8885197349,11.9433770280025,2,2,0,0,1,1.56034904687095
"271",61649.2937977038,-84498.3130943099,431.029924522889,2,2,0,0,1,3.04067492486886
"272",61465.0441343504,-84047.3201636841,21.8079569438447,4,1,0,0,1,3.66852356942483
"273",59253.2751769004,-84842.558521168,56.7580472489128,2,2,0,0,1,1.12206295477393
"274",62121.29938027,-84032.6685686048,30.8909961461648,4,2,1,1,1,0.696821735981977
"275",61438.0635102339,-84049.3956804837,48.8776397306286,4,2,0,0,1,0.808052741396475
"276",59897.0773332895,-84557.6390418969,21.0789407774351,4,2,0,1,1,1.29693617783707
"277",59850.6567510945,-84098.7460679784,60.4016508580615,1,2,0,0,1,1.74713134353391
"278",61314.9812964353,-85348.8598283123,20.8584323923264,2,2,0,0,1,0.613735146574098
"279",61187.2513542362,-84538.380363044,80.9606620625988,2,2,0,0,1,1.37002142693104
"280",59874.4036627436,-84065.8680757179,35.4694126510598,2,2,0,0,1,1.61476621338562
"281",59374.8305598911,-83676.9166736914,11.7637100347524,2,2,0,0,1,0.804829496856116
"282",61257.1408311962,-85143.820208058,130.165978841786,1,2,0,0,1,0.438537643202839
"283",61114.7609652946,-84862.1750112218,120.456465136344,1,2,0,0,1,1.75998193289382
"284",62100.8120299729,-84033.5250856731,10.1364851354988,4,2,1,1,1,1.48192127050218
"285",59840.6757732281,-83862.2765729361,55.5027113895857,1,2,0,0,1,2.55937682432412
"286",59845.7452853492,-84099.321200182,56.8326030851401,1,2,0,0,1,1.74713134353391
"287",59717.7734645621,-83582.0036170424,257.724835978013,2,2,0,0,1,2.22796752029994
"288",61333.9788395455,-85350.8909374755,40.0014942586333,2,2,0,0,1,1.95572767031698
"289",61177.5005217161,-84580.2461195016,123.960362266519,2,2,0,0,1,0.648182359812183
"290",60566.3700823085,-84055.3701356701,155.712748907482,4,2,0,0,1,2.10249209562381
"291",59846.2864457543,-84533.1785158821,14.4395506839696,2,2,0,0,1,1.67867111717506
"292",61172.8443137833,-84700.4531363505,11.9939406868005,2,2,0,0,1,0.977793222378819
"293",62322.0257011009,-83409.1587975551,113.511916249298,2,2,0,0,1,0.00043145640333444
"294",61959.4354375473,-84072.9415537776,124.582281060943,4,2,0,0,1,1.23775356619388
"295",60868.8763646834,-83291.5934526054,240.99089204482,2,2,0,0,1,4.27388757881914
